Day;Departure time;Approx. Arrival time  - Scenario I;min Approx. Travel time (min);max Approx. Travel time (min);Approx. Arrival time - Scenario II;min Approx. Travel time (min);max Approx. Travel time (min)
Monday - 06/17/19;06:45;07:09;12;24;07:13;14;28
Monday - 06/17/19;07:00;07:26;12;26;07:30;14;30
Monday - 06/17/19;07:15;07:43;14;28;07:50;16;35
Monday - 06/17/19;07:30;08:00;14;30;08:15;18;45
Monday - 06/17/19;07:45;08:20;14;35;08:35;20;50
Monday - 06/17/19;08:00;08:35;16;35;08:55;20;55
Monday - 06/17/19;08:15;08:50;15;35;09:05;20;50
Monday - 06/17/19;08:30;09:10;16;40;09:25;22;55
Monday - 06/17/19;08:45;09:25;16;40;09:40;20;55
Monday - 06/17/19;09:00;09:35;16;35;09:50;20;50
Monday - 06/17/19;09:15;09:50;16;35;10:00;18;45
Monday - 06/17/19;09:30;10:05;16;35;10:10;18;40
Monday - 06/17/19;09:45;10:20;14;35;10:25;18;40
Monday - 06/17/19;10:00;10:30;14;30;10:35;16;35
Wednesday - 06/19/19;06:45;07:09;12;24;07:09;12;24
Wednesday - 06/19/19;07:00;07:26;12;26;07:26;14;26
Wednesday - 06/19/19;07:15;07:43;12;28;07:45;16;30
Wednesday - 06/19/19;07:30;07:58;14;28;08:05;15;35
Wednesday - 06/19/19;07:45;08:15;14;30;08:25;18;40
Wednesday - 06/19/19;08:00;08:35;14;35;08:45;18;45
Wednesday - 06/19/19;08:15;08:50;14;35;09:00;18;45
Wednesday - 06/19/19;08:30;09:05;16;35;09:15;20;45
Wednesday - 06/19/19;08:45;09:20;14;35;09:30;18;45
Wednesday - 06/19/19;09:00;09:35;14;35;09:40;18;40
Wednesday - 06/19/19;09:15;09:50;14;35;09:55;18;40
Wednesday - 06/19/19;09:30;10:05;14;35;10:10;18;40
Wednesday - 06/19/19;09:45;10:15;14;30;10:20;16;35
Wednesday - 06/19/19;10:00;10:30;14;30;10:35;16;35
Friday - 06/21/19;06:45;07:09;12;24;07:09;14;24
Friday - 06/21/19;07:00;07:26;12;26;07:24;14;24
Friday - 06/21/19;07:15;07:41;12;26;07:41;14;26
Friday - 06/21/19;07:30;07:58;12;28;08:00;16;30
Friday - 06/21/19;07:45;08:15;14;30;08:20;16;35
Friday - 06/21/19;08:00;08:30;14;30;08:35;16;35
Friday - 06/21/19;08:15;08:45;14;30;08:55;16;40
Friday - 06/21/19;08:30;09:05;14;35;09:10;16;40
Friday - 06/21/19;08:45;09:20;14;35;09:20;16;35
Friday - 06/21/19;09:00;09:35;14;35;09:35;16;35
Friday - 06/21/19;09:15;09:45;14;30;09:50;16;35
Friday - 06/21/19;09:30;10:00;14;30;10:05;16;35
Friday - 06/21/19;09:45;10:15;14;30;10:20;16;35
Friday - 06/21/19;10:00;10:30;14;30;10:35;16;35
Sunday - 06/23/19;06:45;07:05;12;20;07:03;12;18
Sunday - 06/23/19;07:00;07:20;12;20;07:18;12;18
Sunday - 06/23/19;07:15;07:35;12;20;07:33;12;18
Sunday - 06/23/19;07:30;07:50;12;20;07:48;12;18
Sunday - 06/23/19;07:45;08:05;12;20;08:03;12;18
Sunday - 06/23/19;08:00;08:20;12;20;08:18;12;18
Sunday - 06/23/19;08:15;08:35;12;20;08:33;12;18
Sunday - 06/23/19;08:30;08:50;12;20;08:48;12;18
Sunday - 06/23/19;08:45;09:07;12;22;09:05;12;20
Sunday - 06/23/19;09:00;09:22;12;22;09:20;12;20
Sunday - 06/23/19;09:15;09:39;12;24;09:35;12;20
Sunday - 06/23/19;09:30;09:54;12;24;09:52;14;22
Sunday - 06/23/19;09:45;10:09;12;24;10:07;14;22
Sunday - 06/23/19;10:00;10:24;12;24;10:22;14;22
