time 	Ambient	temperature
11.09.2019	00:00:00	12,64
11.09.2019	00:15:00	12,69333333
11.09.2019	00:30:00	12,66
11.09.2019	00:45:00	12,6
11.09.2019	01:00:00	12,38
11.09.2019	01:15:00	11,96666667
11.09.2019	01:30:00	11,52
11.09.2019	01:45:00	11,32666667
11.09.2019	02:00:00	11,28666667
11.09.2019	02:15:00	11,05333333
11.09.2019	02:30:00	10,7
11.09.2019	02:45:00	10,74
11.09.2019	03:00:00	10,72
11.09.2019	03:15:00	10,71333333
11.09.2019	03:30:00	10,44
11.09.2019	03:45:00	9,986666667
11.09.2019	04:00:00	9,853333333
11.09.2019	04:15:00	9,806666667
11.09.2019	04:30:00	9,96
11.09.2019	04:45:00	9,953333333
11.09.2019	05:00:00	9,973333333
11.09.2019	05:15:00	9,806666667
11.09.2019	05:30:00	9,353333333
11.09.2019	05:45:00	9,366666667
11.09.2019	06:00:00	9,366666667
11.09.2019	06:15:00	9,346666667
11.09.2019	06:30:00	9,4
11.09.2019	06:45:00	9,513333333
11.09.2019	07:00:00	9,88
11.09.2019	07:15:00	10,22666667
11.09.2019	07:30:00	10,31333333
11.09.2019	07:45:00	10,73333333
11.09.2019	08:00:00	11,15333333
11.09.2019	08:15:00	11,70666667
11.09.2019	08:30:00	12,39333333
11.09.2019	08:45:00	13,24
11.09.2019	09:00:00	14,18666667
11.09.2019	09:15:00	15,14
11.09.2019	09:30:00	15,92666667
11.09.2019	09:45:00	16,14
11.09.2019	10:00:00	16,88
11.09.2019	10:15:00	17,29333333
11.09.2019	10:30:00	18,03333333
11.09.2019	10:45:00	18,73333333
11.09.2019	11:00:00	19,12666667
11.09.2019	11:15:00	19,72666667
11.09.2019	11:30:00	20,02
11.09.2019	11:45:00	20,48
11.09.2019	12:00:00	20,32666667
11.09.2019	12:15:00	20,41333333
11.09.2019	12:30:00	20,28
11.09.2019	12:45:00	20,63333333
11.09.2019	13:00:00	20,66666667
11.09.2019	13:15:00	20,93333333
11.09.2019	13:30:00	21,23333333
11.09.2019	13:45:00	21,17333333
11.09.2019	14:00:00	21,26666667
11.09.2019	14:15:00	21,42
11.09.2019	14:30:00	21,58
11.09.2019	14:45:00	21,96666667
11.09.2019	15:00:00	22,08666667
11.09.2019	15:15:00	22,32
11.09.2019	15:30:00	22,35333333
11.09.2019	15:45:00	21,88
11.09.2019	16:00:00	22,33333333
11.09.2019	16:15:00	22,6
11.09.2019	16:30:00	22,66666667
11.09.2019	16:45:00	22,72666667
11.09.2019	17:00:00	22,22666667
11.09.2019	17:15:00	21,85333333
11.09.2019	17:30:00	21,22
11.09.2019	17:45:00	20,89333333
11.09.2019	18:00:00	20,84666667
11.09.2019	18:15:00	20,94
11.09.2019	18:30:00	20,73333333
11.09.2019	18:45:00	20,54666667
11.09.2019	19:00:00	20,30666667
11.09.2019	19:15:00	19,92666667
11.09.2019	19:30:00	19,58666667
11.09.2019	19:45:00	19,24666667
11.09.2019	20:00:00	18,88666667
11.09.2019	20:15:00	18,57333333
11.09.2019	20:30:00	18,37333333
11.09.2019	20:45:00	18,13333333
11.09.2019	21:00:00	17,86666667
11.09.2019	21:15:00	17,63333333
11.09.2019	21:30:00	17,44666667
11.09.2019	21:45:00	17,22
11.09.2019	22:00:00	17,06
11.09.2019	22:15:00	16,91333333
11.09.2019	22:30:00	16,67333333
11.09.2019	22:45:00	16,37333333
11.09.2019	23:00:00	16,22
11.09.2019	23:15:00	16,15333333
11.09.2019	23:30:00	16,01333333
11.09.2019	23:45:00	15,77333333
